ID_REGULASI,REGULATOR,JUDUL,TANGGAL_REGULASI_EFEKTIF,LINK_REGULASI,TIMESTAMP,NO_KETENTUAN,TENTANG,NOTIFICATION_STATUS,TANGGAL_TERBIT,LINK_RANCANGAN,DESKRIPSI
2,OJK,Peraturan Otoritas Jasa Keuangan Nomor 13 Tahun 2024 tentang Transparansi dan Publikasi Suku Bunga Dasar Kredit bagi Bank Umum Konvensional (POJK SBDK BUK),8/12/2024,ojk.go.id/id/regulasi/Pages/POJK-13-2024-Transparansi-dan-Publikasi-Suku-Bunga-Dasar-Kredit-Bagi-Bank-Umum-Konvensional.aspx,2024-09-17 17:50:28.999282,Peraturan Otoritas Jasa Keuangan Nomor 13 Tahun 2024,Transparansi dan Publikasi Suku Bunga Dasar Kredit bagi Bank Umum Konvensional (POJK SBDK BUK),,,,
3,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 7/SEOJK.07/2024 tentang Pelaporan Penyelenggara Inovasi Teknologi Sektor Keuangan yang Terdaftar di Otoritas Jasa Keuangan.,8/8/2024,ojk.go.id/id/regulasi/Pages/Pelaporan-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan-yang-Terdaftar-di-Otoritas-Jasa-Keuangan.aspx,2024-09-17 17:50:28.999282,Surat Edaran Otoritas Jasa Keuangan Nomor 7/SEOJK.07/2024,Pelaporan Penyelenggara Inovasi Teknologi Sektor Keuangan yang Terdaftar di Otoritas Jasa Keuangan.,SENT,,,
4,OJK,Peraturan Otoritas Jasa Keuangan Nomor 11 Tahun 2024 Tentang Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 18/POJK.03/2017 Tentang Pelaporan dan Permintaan Informasi Debitur Melalui Sistem Layanan Informasi Keuangan (SLIK),7/31/2024,ojk.go.id/id/regulasi/Pages/Perubahan-Kedua-POJK-Nomor-18-2017-tentang-Pelaporan-dan-Permintaan-Informasi-Debitur-melalui-SLIK.aspx,2024-09-17 17:50:28.999282,Peraturan Otoritas Jasa Keuangan Nomor 11 Tahun 2024,Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 18/POJK.03/2017 Tentang Pelaporan dan Permintaan Informasi Debitur Melalui Sistem Layanan Informasi Keuangan (SLIK),,,,
5,OJK,​Peraturan Otoritas Jasa Keuangan Republik Indonesia ​Nomor 10 Tahun 2024 tentang Penerbitan dan Pelaporan Obligasi Daerah dan Sukuk Daerah,7/9/2024,ojk.go.id/id/regulasi/Pages/Penerbitan-dan-Pelaporan-Obligasi-Daerah-dan-Sukuk-Daerah.aspx,2024-09-17 17:50:28.999282,​Peraturan Otoritas Jasa Keuangan Republik Indonesia ​Nomor 10 Tahun 2024,Penerbitan dan Pelaporan Obligasi Daerah dan Sukuk Daerah,,,,
6,OJK,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 9 Tahun 2024 tentang Penerapan Tata Kelola bagi Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.,7/1/2024,ojk.go.id/id/regulasi/Pages/POJK-9-2024-Penerapan-Tata-Kelola-bagi-BPR-dan-BPRS.aspx,2024-09-17 17:50:28.999282,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 9 Tahun 2024,Penerapan Tata Kelola bagi Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.,,,,
7,OJK,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 4/SEOJK.05/2024 tentang Dasar Penilaian Investasi Dana Pensiun.,7/1/2024,ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,2024-09-17 17:50:28.999282,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 4/SEOJK.05/2024,Dasar Penilaian Investasi Dana Pensiun.,,,,
8,OJK,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 1/SEOJK.06/2024 Tentang Tata Cara dan Mekanisme Panyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi​.,7/1/2024,ojk.go.id/id/regulasi/Pages/Tata-Cara-dan-Mekanisme-Penyampaian-Data-Transaksi-Pendanaan-dan-Pelaporan-Penyelenggara-Layanan-Pendanaan-Bersama-Berbasis.aspx,2024-09-17 17:50:28.999282,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 1/SEOJK.06/2024,Tata Cara dan Mekanisme Panyampaian Data Transaksi Pendanaan dan Pelaporan Penyelenggara Layanan Pendanaan Bersama Berbasis Teknologi Informasi​.,,,,
9,OJK,Peraturan Otoritas Jasa Keuangan Nomor 8 Tahun 2024 tentang Produk Asuransi dan Saluran Pemasaran Produk Asuransi,6/5/2024,ojk.go.id/id/regulasi/Pages/POJK-8-Tahun-2024-Produk-Asuransi-dan-Saluran-Pemasaran-Produk-Asuransi.aspx,2024-09-17 17:50:28.999282,Peraturan Otoritas Jasa Keuangan Nomor 8 Tahun 2024,Produk Asuransi dan Saluran Pemasaran Produk Asuransi,,,,
10,OJK,Surat Edaran Otoritas Jasa Keuangan Nomor 6/SEOJK.07/2024​ tentang Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.,6/3/2024,ojk.go.id/id/regulasi/Pages/Pendaftaran-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,2024-09-17 17:50:28.999282,Surat Edaran Otoritas Jasa Keuangan Nomor 6/SEOJK.07/2024​,Pendaftaran Penyelenggara Inovasi Teknologi Sektor Keuangan.,,,,
11,BI,Peraturan Anggota Dewan Gubernur Nomor 8 Tahun 2024 tentang Perubahan Keenam atas Peraturan Anggota Dewan Gubernur Nomor 20/15/PADG/2018 tentang Penyelenggaraan Setelmen Dana Seketika Melalui Sistem Bank Indonesia-Real Time Gross Settlement ,7 Agustus 2024,https://www.bi.go.id/id/publikasi/peraturan/Pages/PADG_082024.aspx,2024-09-17 17:50:39.618656,Peraturan Anggota Dewan Gubernur Nomor 8 Tahun 2024,Perubahan Keenam atas Peraturan Anggota Dewan Gubernur Nomor 20/15/PADG/2018 tentang Penyelenggaraan Setelmen Dana Seketika Melalui Sistem Bank Indonesia-Real Time Gross Settlement,,,,
